Influencer_ID,Name,Platform,Followers,Engagement_Rate,Avg_Likes,Avg_Comments,Posts_Per_Month,Category,Location,Collab_Cost,Audience_Age,Audience_Gender,Growth_Rate,Video_Views
INF0071,Shravya647,YouTube,36581,5.61,1981,411,29,Gaming,Ahmedabad,12642,35-44,Female,5.44,50822
INF0072,Ekapad965,YouTube,29773,8.42,2009,58,22,Finance,Ahmedabad,24844,35-44,Female,5.19,69453
INF0073,Gaurika35,Instagram,73426,11.37,6417,64,29,Finance,Bengaluru,43998,18-24,Mixed,6.84,149745
INF0074,Ekantika685,Instagram,35729,2.11,529,206,13,Beauty,Bengaluru,23257,13-17,Male,3.37,83162
INF0075,Eta848,Instagram,50092,6.96,2509,402,19,Fitness,Chennai,25006,25-34,Male,1.19,90807
INF0076,Forum746,Instagram,25173,9.18,1652,174,5,Fashion,Ahmedabad,26961,18-24,Male,2.5,51600
INF0077,Sanya170,Instagram,44886,9.62,3693,395,23,Lifestyle,Vijayawada,48698,25-34,Male,0.91,102634
INF0078,Jai856,Instagram,67974,9.54,6289,492,27,Gaming,Ahmedabad,41679,35-44,Male,2.15,126393
INF0079,Rudra419,YouTube,95506,3.31,2810,253,17,Lifestyle,Mumbai,98916,35-44,Female,3.17,130781
INF0080,Vansha734,Instagram,30932,4.36,1317,208,10,Fitness,Chennai,34891,35-44,Mixed,8.61,79620
INF0081,Ganga998,YouTube,28142,4.63,1005,485,7,Fashion,Delhi,14509,35-44,Mixed,9.47,51520
INF0082,Vivaan252,Instagram,91048,7.45,6421,346,4,Food,Jaipur,35049,35-44,Mixed,8.31,126712
INF0083,Pallavi376,YouTube,84862,6.14,4146,344,26,Finance,Mumbai,94310,35-44,Male,1.08,150982
INF0084,Ishanvi218,Instagram,41183,5.53,2258,496,15,Gaming,Vijayawada,22453,18-24,Male,3.74,45136
INF0085,Jhalak292,YouTube,41738,11.4,4753,32,14,Beauty,Ahmedabad,13636,35-44,Male,8.23,37858
INF0086,Tanish768,Instagram,72626,8.82,4946,71,6,Food,Kolkata,58194,18-24,Mixed,5.17,208226
INF0087,Waida804,YouTube,68494,10.82,6089,464,14,Finance,Jaipur,20669,13-17,Male,0.54,114661
INF0088,Mohini20,YouTube,63905,9.58,4739,468,22,Food,Ahmedabad,54619,35-44,Male,3.93,130081
INF0089,Ekta407,Instagram,89001,10.18,8021,303,13,Lifestyle,Pune,93911,18-24,Mixed,2.59,219151
INF0090,Zayan803,Instagram,37329,10.71,2831,35,23,Lifestyle,Ahmedabad,42319,35-44,Male,9.7,68602
INF0091,Oeshi541,Instagram,40615,7.56,2446,82,13,Beauty,Ahmedabad,19473,35-44,Mixed,5.09,45927
INF0092,Raagini183,YouTube,39626,7.42,2593,489,8,Fitness,Chennai,15334,18-24,Male,3.59,109074
INF0093,Yashoda738,YouTube,62781,6.47,3024,449,4,Lifestyle,Vijayawada,47048,13-17,Mixed,2.92,87431
INF0094,Lohit784,YouTube,92553,6.12,4263,492,20,Travel,Vijayawada,59235,25-34,Male,2.41,255906
INF0095,Ranveer139,Instagram,50994,11.07,5075,198,19,Finance,Bengaluru,51644,13-17,Mixed,6.73,106090
INF0096,Zinal467,YouTube,70882,7.85,4191,451,15,Travel,Ahmedabad,32411,18-24,Mixed,4.34,67589
INF0097,Frado588,Instagram,98958,8.35,7036,294,5,Gaming,Kolkata,45612,25-34,Mixed,3.11,245427
INF0098,Unnati304,YouTube,11842,9.03,793,254,25,Gaming,Bengaluru,6175,18-24,Female,9.61,10137
INF0099,Zilmil405,Instagram,95830,6.38,4439,179,12,Gaming,Kolkata,78237,18-24,Male,9.31,143472
INF0100,Ayaan328,Instagram,80267,2.07,1621,99,13,Education,Jaipur,85575,13-17,Mixed,1.78,232114
INF0101,Damyanti417,Instagram,36528,6.26,1662,141,19,Travel,Mumbai,27990,13-17,Female,6.65,71380
INF0102,Yutika482,YouTube,24317,9.46,2248,435,7,Lifestyle,Jaipur,9888,13-17,Male,2.16,30913
INF0103,Faras679,Instagram,82378,8.66,6076,208,29,Lifestyle,Kolkata,39613,35-44,Male,7.67,236269
INF0104,Krish426,YouTube,33345,10.97,3478,73,6,Fashion,Ahmedabad,37570,13-17,Female,7.9,51322
INF0105,Ubika520,Instagram,38464,2.25,698,285,14,Tech,Delhi,20543,18-24,Female,1.17,53929
INF0106,Gabriel987,YouTube,55165,7.09,3876,154,30,Gaming,Delhi,65394,35-44,Female,3.77,108626
INF0107,Anvi697,YouTube,37165,5.69,1780,409,23,Education,Jaipur,28969,18-24,Mixed,1.96,34411
INF0108,Qadim747,Instagram,79780,3.7,2808,144,4,Beauty,Bengaluru,72634,13-17,Female,8.85,65383
INF0109,Veer40,Instagram,50583,11.74,4863,459,12,Fashion,Pune,20836,13-17,Mixed,3.5,105553
INF0110,Chaitanya307,Instagram,74548,7.1,4823,422,20,Food,Ahmedabad,81792,18-24,Male,4.77,158970
INF0111,Bahadurjit970,Instagram,27677,10.37,2761,166,20,Beauty,Vijayawada,30080,25-34,Mixed,7.23,58801
INF0112,Madhavi818,Instagram,22554,11.12,2172,353,20,Finance,Chennai,14397,13-17,Female,4.81,66939
INF0113,Arjun359,YouTube,10333,5.05,500,44,4,Travel,Delhi,10414,35-44,Mixed,2.66,28037
INF0114,Avi77,YouTube,95543,3.04,2120,178,10,Gaming,Delhi,111389,35-44,Female,2.42,226391
INF0115,Ekta62,YouTube,70451,2.37,1371,339,27,Finance,Hyderabad,65450,25-34,Female,0.79,128892
INF0116,Jyoti243,YouTube,71290,6.47,3676,52,14,Finance,Kolkata,27383,35-44,Female,2.47,196589
INF0117,Chavvi256,YouTube,89733,8.65,5989,412,29,Lifestyle,Vijayawada,96434,35-44,Female,1.38,75126
INF0118,Ati577,Instagram,14389,4.0,444,263,17,Education,Bengaluru,5097,13-17,Female,5.32,37053
INF0119,Bhanumati941,YouTube,76404,9.95,7288,282,17,Tech,Chennai,86802,13-17,Mixed,4.58,201977
INF0120,Harinakshi706,Instagram,46091,11.63,3938,405,23,Finance,Kolkata,29433,13-17,Mixed,3.94,39329
INF0121,Watika693,Instagram,81533,9.82,6207,221,20,Travel,Ahmedabad,35453,13-17,Female,9.41,227753
INF0122,Sai338,Instagram,76191,5.8,3962,29,7,Tech,Vijayawada,26052,13-17,Mixed,4.86,224726
INF0123,Chandresh140,Instagram,10515,2.04,198,252,13,Finance,Delhi,8677,35-44,Male,9.81,23427
INF0124,Edhitha678,Instagram,92112,2.2,1896,220,29,Food,Ahmedabad,42533,25-34,Female,1.23,233640
INF0125,Varenya444,YouTube,56311,10.92,4543,27,22,Travel,Mumbai,30755,13-17,Male,2.79,151781
INF0126,Rishi968,YouTube,50433,11.55,5655,49,19,Finance,Chennai,48126,13-17,Male,2.49,129854
INF0127,Pratyush919,YouTube,76342,7.76,5376,261,20,Travel,Delhi,50217,13-17,Male,0.68,135210
INF0128,Janya397,Instagram,21765,2.08,439,25,21,Education,Jaipur,24537,18-24,Male,1.93,33851
INF0129,Garima805,YouTube,30359,2.01,510,341,16,Finance,Chennai,13941,35-44,Male,2.13,26719
INF0130,Zansi436,YouTube,35496,8.08,2076,312,15,Travel,Kolkata,21742,13-17,Male,5.33,65765
INF0131,Vasana413,YouTube,81444,11.12,7938,339,6,Travel,Hyderabad,52399,35-44,Male,7.67,214629
INF0132,Manbir998,YouTube,57334,6.13,2959,264,17,Tech,Jaipur,40815,18-24,Male,6.08,82382
INF0133,Geetika815,Instagram,48980,9.2,4252,116,13,Education,Jaipur,50078,35-44,Mixed,0.68,41725
INF0134,Gunbir237,YouTube,26403,2.94,606,166,5,Travel,Hyderabad,24385,13-17,Male,6.72,46073
INF0135,Gaurika147,YouTube,48539,6.55,2399,305,5,Travel,Ahmedabad,57052,13-17,Mixed,7.81,122362
INF0136,Ekani507,Instagram,79026,2.64,1689,482,16,Education,Mumbai,36229,35-44,Female,3.35,162565
INF0137,Praneel645,YouTube,66112,6.88,3628,52,7,Finance,Jaipur,66131,35-44,Female,5.05,95333
INF0138,Aarnav163,Instagram,43728,11.22,4134,499,19,Tech,Chennai,46408,35-44,Mixed,5.17,91418
INF0139,Shaurya657,YouTube,86282,7.57,4821,40,15,Tech,Delhi,33564,13-17,Male,5.15,234174
INF0140,Aahana592,Instagram,17288,7.45,1195,380,11,Education,Vijayawada,20110,13-17,Mixed,6.5,14960
INF0141,Chanchal794,YouTube,88756,9.22,5905,58,29,Travel,Jaipur,90784,13-17,Mixed,6.96,88511
INF0142,David640,Instagram,9703,10.1,840,489,18,Food,Bengaluru,10515,18-24,Male,4.32,28727
INF0143,Kamya13,Instagram,51478,4.81,2139,293,21,Beauty,Pune,36608,35-44,Male,5.44,106172
INF0144,Agastya315,Instagram,29866,10.15,2333,435,13,Gaming,Mumbai,21554,35-44,Female,10.0,89410
INF0145,Bhavini855,YouTube,9634,10.04,723,385,20,Tech,Chennai,9632,18-24,Male,2.81,25709
INF0146,Nitara325,Instagram,98342,5.45,4502,286,27,Finance,Chennai,108097,25-34,Mixed,4.92,294445
INF0147,Nitesh580,Instagram,57805,8.92,3968,388,30,Travel,Jaipur,48994,35-44,Mixed,1.33,93587
INF0148,Odika446,YouTube,88073,10.62,7587,394,4,Finance,Pune,40651,18-24,Male,3.36,223777
INF0149,Jonathan800,Instagram,33690,8.43,2714,411,16,Beauty,Hyderabad,13488,13-17,Male,4.51,43487
INF0150,Simon840,Instagram,69473,6.69,3567,80,22,Lifestyle,Vijayawada,62372,18-24,Female,7.75,55905
INF0151,Vedhika784,YouTube,44833,11.41,3814,26,23,Education,Mumbai,29598,25-34,Female,6.3,118484
INF0152,Jasmit343,YouTube,32783,11.97,3232,230,21,Fashion,Kolkata,33273,25-34,Female,3.5,27513
INF0153,Ekapad191,Instagram,18725,10.83,1731,228,21,Travel,Jaipur,17930,13-17,Mixed,9.37,36598
INF0154,Alka383,Instagram,55376,4.07,1876,471,30,Travel,Bengaluru,41281,25-34,Male,8.42,83437
INF0155,Anmol533,Instagram,6345,6.31,292,42,30,Lifestyle,Delhi,6862,18-24,Mixed,4.28,18746
INF0156,Tejas165,YouTube,52549,11.12,5743,418,8,Fashion,Ahmedabad,27093,13-17,Mixed,9.02,98819
INF0157,Sarthak330,Instagram,44409,5.49,2090,124,27,Food,Delhi,36657,35-44,Mixed,6.22,82795
INF0158,Samaksh765,YouTube,23932,3.2,556,133,26,Fashion,Delhi,26526,18-24,Female,2.1,56915
INF0159,Samar84,YouTube,25052,4.31,857,112,18,Lifestyle,Jaipur,8927,18-24,Mixed,8.57,62737
INF0160,Lavanya818,YouTube,24112,2.3,426,171,26,Gaming,Kolkata,8370,13-17,Male,2.68,69749
INF0161,Teerth830,Instagram,22590,10.59,1745,483,14,Travel,Vijayawada,8527,35-44,Mixed,7.06,49954
INF0162,Oliver758,Instagram,9717,7.01,643,237,8,Food,Pune,7054,35-44,Male,6.22,20844
INF0163,Lakshit112,YouTube,79220,7.7,5475,226,13,Finance,Chennai,41577,13-17,Mixed,8.75,200395
INF0164,Bahadurjit603,Instagram,85817,8.94,6662,462,13,Travel,Delhi,32172,25-34,Mixed,9.15,71597
INF0165,Siddharth241,Instagram,58416,6.8,3956,162,30,Education,Chennai,57284,35-44,Mixed,8.87,52970
INF0166,Ekalinga270,YouTube,28283,3.91,813,476,30,Gaming,Bengaluru,32064,18-24,Male,3.93,52977
INF0167,Jagvi385,YouTube,5684,8.87,395,60,14,Tech,Kolkata,4525,13-17,Female,1.82,8068
INF0168,Hiral832,YouTube,54346,9.77,3749,284,13,Lifestyle,Mumbai,42880,35-44,Male,3.29,87468
INF0169,Wishi830,Instagram,41799,8.64,2823,484,26,Fashion,Hyderabad,27600,35-44,Male,5.5,62647
INF0170,Ati862,YouTube,43841,3.22,1224,157,24,Fashion,Hyderabad,37245,25-34,Mixed,4.11,58904
INF0171,Chakradev460,Instagram,57449,4.96,2523,386,7,Fashion,Jaipur,63444,35-44,Male,7.44,50977
INF0172,Ansh598,Instagram,46646,9.63,3488,334,20,Fashion,Mumbai,49530,13-17,Male,7.05,131601
INF0173,Pahal650,YouTube,6849,3.24,187,257,16,Fashion,Kolkata,7386,25-34,Mixed,7.37,18367
INF0174,Girik726,YouTube,20049,10.19,1490,327,11,Beauty,Mumbai,20211,18-24,Male,9.28,28729
INF0175,Caleb286,YouTube,22004,6.61,1266,314,29,Lifestyle,Delhi,23513,35-44,Mixed,7.91,54164
INF0176,Max356,Instagram,92918,8.99,7678,380,26,Fashion,Vijayawada,100214,13-17,Female,7.32,161143
INF0177,Isaac720,YouTube,51345,9.0,4209,54,27,Travel,Chennai,16433,18-24,Mixed,8.41,151782
INF0178,Zashil654,YouTube,59890,10.28,5842,90,15,Lifestyle,Mumbai,66135,13-17,Male,3.24,120089
INF0179,Nidhi467,Instagram,5637,10.0,424,349,25,Travel,Delhi,3806,13-17,Female,3.08,5023
INF0180,Warinder390,Instagram,24079,11.47,2090,57,15,Finance,Chennai,13534,35-44,Mixed,8.33,26401
INF0181,Idika931,Instagram,62123,5.59,2727,434,25,Fitness,Kolkata,59374,13-17,Male,3.98,87191
INF0182,Forum330,YouTube,22341,5.2,842,76,28,Finance,Kolkata,16279,25-34,Male,3.89,42056
INF0183,Garima218,YouTube,90070,9.26,6739,438,5,Fitness,Pune,69170,18-24,Mixed,9.62,220803
INF0184,Geetika580,Instagram,63734,11.99,7428,248,15,Travel,Delhi,63073,25-34,Mixed,6.73,52139
INF0185,Leela920,Instagram,8773,11.25,897,376,4,Fashion,Vijayawada,8277,35-44,Female,6.19,15076
INF0186,Ekapad859,Instagram,13996,10.97,1111,165,25,Travel,Ahmedabad,12834,35-44,Male,2.66,21754
INF0187,Sachi306,YouTube,60395,2.09,947,64,25,Tech,Hyderabad,61955,25-34,Mixed,4.58,169787
INF0188,Rohan837,YouTube,91955,4.83,3309,453,4,Education,Delhi,86094,13-17,Female,5.16,86564
INF0189,Samuel785,YouTube,53632,6.74,2812,284,5,Travel,Vijayawada,47421,35-44,Female,9.42,88694
INF0190,Varenya64,YouTube,91286,3.84,3136,72,8,Beauty,Jaipur,101553,35-44,Mixed,5.89,193700
INF0191,Jacob693,YouTube,59473,4.98,2266,365,8,Beauty,Kolkata,43651,13-17,Mixed,0.92,143075
INF0192,Zashil524,YouTube,48028,11.95,4643,472,15,Lifestyle,Hyderabad,50350,25-34,Male,5.75,96268
INF0193,Vanya791,YouTube,8078,9.41,593,226,17,Lifestyle,Mumbai,4199,18-24,Male,6.59,12283
INF0194,Chakradhar593,Instagram,66367,7.53,3621,256,22,Finance,Mumbai,34242,35-44,Mixed,4.13,69118
INF0195,Lavanya151,Instagram,52463,10.57,5169,165,29,Fashion,Ahmedabad,22744,18-24,Female,2.11,52376
INF0196,Tanay67,YouTube,83639,2.34,1785,343,21,Tech,Pune,76130,25-34,Mixed,8.02,195742
INF0197,Alka332,Instagram,66453,3.35,1657,148,25,Finance,Chennai,29018,35-44,Mixed,7.61,167118
INF0198,Henry53,YouTube,32495,6.66,1792,265,16,Beauty,Kolkata,35995,35-44,Female,4.06,72665
INF0199,Atharv286,YouTube,6021,6.49,386,247,26,Beauty,Jaipur,2888,25-34,Female,2.33,12058
INF0200,Siya829,Instagram,98219,4.48,4294,408,13,Gaming,Chennai,43629,18-24,Mixed,1.76,290148
INF0201,Krish653,YouTube,23678,5.84,1131,472,12,Fashion,Ahmedabad,21338,18-24,Mixed,3.81,36653
INF0202,Lila689,Instagram,58789,2.67,1184,337,7,Education,Vijayawada,35794,25-34,Female,6.13,112790
INF0203,Lavanya451,Instagram,58405,6.2,3544,292,6,Travel,Chennai,23422,35-44,Male,2.01,91883
INF0204,Rayaan487,YouTube,91402,3.19,2723,466,26,Finance,Hyderabad,35398,25-34,Male,1.6,270735
INF0205,Kamala559,Instagram,65610,5.72,3501,449,26,Education,Ahmedabad,51701,25-34,Male,8.83,145724
INF0206,Aahana591,YouTube,10316,3.68,279,337,10,Travel,Jaipur,5374,13-17,Mixed,8.16,8747
INF0207,Nitara951,YouTube,91016,8.19,6050,316,30,Education,Bengaluru,69253,13-17,Male,1.21,176031
INF0208,Triya662,Instagram,59460,7.58,4254,256,6,Fashion,Kolkata,62649,13-17,Female,5.63,76467
INF0209,Tarak102,YouTube,58964,11.59,6002,469,17,Finance,Delhi,40492,18-24,Male,3.37,130121
INF0210,Ekapad696,Instagram,38821,4.24,1484,384,26,Lifestyle,Delhi,27140,35-44,Male,1.2,63299
INF0211,Oviya394,YouTube,87938,6.63,4479,194,23,Fitness,Hyderabad,66480,25-34,Mixed,9.9,109675
INF0212,Meera943,Instagram,36787,7.66,2116,427,29,Lifestyle,Kolkata,29940,25-34,Female,5.28,82803
INF0213,Bina72,YouTube,51351,8.41,4151,74,17,Gaming,Mumbai,30023,35-44,Mixed,5.23,149175
INF0214,Omisha858,YouTube,46287,9.71,3810,290,28,Tech,Hyderabad,51697,25-34,Mixed,3.37,105288
INF0215,Nicholas490,Instagram,73517,7.06,3654,211,20,Education,Vijayawada,39412,25-34,Male,3.1,128428
INF0216,Ranveer803,Instagram,29766,8.98,2086,398,14,Fitness,Bengaluru,14015,35-44,Mixed,7.92,45694
INF0217,Warjas345,YouTube,95054,9.69,7306,451,22,Food,Vijayawada,84080,35-44,Male,5.7,168925
INF0218,Advik166,Instagram,17579,5.1,650,216,17,Fitness,Kolkata,10179,18-24,Female,1.26,39231
INF0219,Gavin936,YouTube,98133,5.56,4117,458,5,Fitness,Bengaluru,74407,18-24,Male,1.92,123142
INF0220,Yug989,YouTube,91507,5.27,4427,160,29,Lifestyle,Mumbai,43939,18-24,Male,1.29,273319
INF0221,Harini167,YouTube,88955,6.38,4397,334,27,Education,Bengaluru,46289,18-24,Male,8.24,94281
INF0222,Anika188,Instagram,32158,6.21,1613,90,26,Tech,Bengaluru,34424,18-24,Mixed,9.74,92126
INF0223,Kai25,Instagram,95078,7.22,5158,396,12,Education,Hyderabad,31669,25-34,Mixed,6.15,217583
INF0224,Azaan622,YouTube,99473,3.22,2793,294,9,Travel,Hyderabad,84178,13-17,Male,0.97,275413
INF0225,Krishna986,YouTube,47780,9.73,3745,48,19,Lifestyle,Pune,26207,35-44,Male,3.76,102152
INF0226,Urvi524,Instagram,35668,4.98,1520,484,29,Fashion,Bengaluru,13368,13-17,Mixed,2.01,48554
INF0227,Gunbir999,YouTube,91297,9.35,7468,217,9,Tech,Vijayawada,58510,25-34,Mixed,5.48,208288
INF0228,Nitesh747,Instagram,50332,2.62,1240,384,6,Fitness,Ahmedabad,44384,18-24,Mixed,4.03,90004
INF0229,Yochana836,Instagram,36963,2.94,1011,247,29,Finance,Bengaluru,42625,35-44,Mixed,2.07,62386
INF0230,Kamya358,Instagram,32718,7.27,1889,194,14,Fashion,Chennai,16501,18-24,Male,3.39,95945
INF0231,Nakul26,YouTube,66605,2.33,1132,80,28,Lifestyle,Kolkata,20227,13-17,Mixed,1.93,182060
INF0232,Yahvi723,YouTube,15778,2.59,358,92,7,Tech,Vijayawada,13842,25-34,Male,2.42,45856
INF0233,Fitan688,YouTube,69759,3.37,2317,363,20,Travel,Bengaluru,40629,13-17,Female,6.01,174083
INF0234,Sanya502,Instagram,56489,3.89,2052,456,27,Education,Chennai,18437,35-44,Female,6.51,77570
INF0235,Vasatika845,Instagram,67998,2.45,1334,166,18,Beauty,Kolkata,45737,18-24,Mixed,4.58,137123
INF0236,Parth911,YouTube,49067,5.71,2261,117,21,Finance,Mumbai,44386,35-44,Male,2.86,103989
